task,optimizer,seed,budget,method,epoch,hidden_cosine,gradient_norm_ratio,projected_step_cosine,first_order_descent,clipped_fraction,minibatch_loss_change
nonlinear,adam,2100,8,bp,1,0.9999999999999999,1.0,0.6450136489972231,0.14294239610472675,0.017982017982017984,-0.01158654105215079
nonlinear,adam,2100,8,bp,2,1.0000000000000002,1.0,0.610070929522041,0.08564633178577995,0.026973026973026972,-0.00697893561572599
nonlinear,adam,2100,8,bp,3,1.0000000000000002,1.0,0.5932362494839305,0.05117332639290532,0.04195804195804196,-0.004181031580021366
nonlinear,adam,2100,8,bp,4,1.0000000000000002,1.0,0.6203802587065629,0.033433999426678344,0.04995004995004995,-0.0027376288368870516
nonlinear,adam,2100,8,bp,5,1.0000000000000002,1.0,0.5758738397203951,0.026377985209630878,0.055944055944055944,-0.0021643629904387757
nonlinear,adam,2100,8,bp,6,1.0,1.0,0.569512044710419,0.020263924070679604,0.054945054945054944,-0.0016668858628703653
nonlinear,adam,2100,8,bp,7,0.9999999999999999,1.0,0.5574751708783666,0.015042368540687369,0.058941058941058944,-0.0012391351939500805
nonlinear,adam,2100,8,bp,8,1.0000000000000002,1.0,0.5382598991474037,0.012481414261496581,0.061938061938061936,-0.001030971742809944
nonlinear,adam,2100,8,bp,9,1.0000000000000002,1.0,0.4631548939811615,0.010182580848928627,0.06893106893106893,-0.0008423533906775013
nonlinear,adam,2100,8,bp,10,1.0000000000000002,1.0,0.5312544398567901,0.008492888040493425,0.06893106893106893,-0.0007033603534313537
nonlinear,adam,2100,8,pc,1,0.8700734337741781,0.251396197716929,0.5843160409681148,0.1429953176827669,0.016983016983016984,-0.01169344855818455
nonlinear,adam,2100,8,pc,2,0.8572834337442832,0.2904132985688774,0.5608714053849663,0.08875070990713085,0.028971028971028972,-0.007242575058054063
nonlinear,adam,2100,8,pc,3,0.8533801929176291,0.2985702537236755,0.526807603108076,0.052458760648086473,0.04195804195804196,-0.004287903361646611
nonlinear,adam,2100,8,pc,4,0.8035668208720772,0.3707066255857881,0.5392379713896721,0.03332920988097655,0.04995004995004995,-0.0027295902625652235
nonlinear,adam,2100,8,pc,5,0.8298932372426718,0.3516741213509112,0.5085734744702889,0.026744885676065863,0.053946053946053944,-0.0021951047594337414
nonlinear,adam,2100,8,pc,6,0.8369863727314586,0.3905407793356661,0.4860052635236816,0.019354055058590038,0.054945054945054944,-0.00159364728234275
nonlinear,adam,2100,8,pc,7,0.8455033110499689,0.4191715086844254,0.48289791032447255,0.014855043082399662,0.060939060939060936,-0.0012255356154093344
nonlinear,adam,2100,8,pc,8,0.810878268766998,0.36491478907255986,0.45580991059769904,0.013074122207574368,0.058941058941058944,-0.0010811233683298838
nonlinear,adam,2100,8,pc,9,0.8561465071579171,0.34794903049066356,0.3862838610442626,0.01049038311052464,0.06293706293706294,-0.0008679198136568103
nonlinear,adam,2100,8,pc,10,0.8062219620537648,0.3540369418642075,0.43516296932921245,0.008936896146109192,0.06593406593406594,-0.0007402930474154704
nonlinear,adam,2100,8,alm,1,0.8801609318448773,0.3261535770693341,0.5879776943554837,0.14291301950936877,0.015984015984015984,-0.011681648962308777
