seed,gain,method,steps,gradient_error,gradient_cosine,residual,fixed_point_distance,recurrence_error
42000,0.4,pc,8,0.5523012230630213,0.9602590404960332,2.6372492071410374,0.00502708038084588,4.941665103127493e-16
42000,0.4,pc,32,0.5457937284989,0.9590964820483473,2.6824648587917546,2.3596503407303574e-05,5.689293429352767e-16
42000,0.4,pc,128,0.5457895319947823,0.9590963060735687,2.6824741397101297,2.502879792307835e-12,5.573402398166046e-16
42000,0.4,pc,512,0.5457895319947034,0.9590963060735742,2.6824741397101954,6.027851785986891e-16,6.027851785986891e-16
42000,0.4,pc,4096,0.5457895319947034,0.9590963060735742,2.6824741397101954,6.027851785986891e-16,6.027851785986891e-16
42000,0.4,alm_exact,8,0.2833781538584971,0.9845352295278288,1.6509423991479064,0.22781072282058393,4.1980178838327637e-16
42000,0.4,alm_exact,32,0.011868815354711815,0.9999724766405805,0.07218817912272041,0.009177808528445266,3.47388393389308e-16
42000,0.4,alm_exact,128,1.50262850698854e-07,0.999999999999989,5.768435803864394e-07,5.8774644179971434e-08,3.3314556391699097e-16
42000,0.4,alm_exact,512,8.218835769117838e-16,0.9999999999999998,9.391953745581941e-16,4.2049718575446745e-16,4.2049704567015614e-16
42000,0.4,alm_exact,4096,8.290323310463806e-16,0.9999999999999998,9.38881321331955e-16,4.2041710993577416e-16,4.2041710993577416e-16
42000,0.4,alm_masked,8,0.28665595978747965,0.9825406891857028,1.6575032203646753,0.22842754583171113,3.944023800586396e-16
42000,0.4,alm_masked,32,0.06340144449169209,0.9979908220490789,0.07223585664861726,0.009230149083935924,3.4517578338973017e-16
42000,0.4,alm_masked,128,0.06319403085648326,0.9980250412560476,1.921057676507319e-07,2.3143378564350993e-08,3.572343264350575e-16
42000,0.4,alm_masked,512,0.06319401736350591,0.9980250422252529,7.41593778750825e-16,4.1684264123491417e-16,4.168426457373095e-16
42000,0.4,alm_masked,4096,0.06319401736350591,0.9980250422252529,7.411066785239372e-16,4.1675865376910043e-16,4.1675865376910043e-16
42000,0.8,pc,8,0.5580707815476712,0.9568460229353929,2.644132160912127,0.008537962300722693,4.066808290045856e-16
42000,0.8,pc,32,0.5503001943494553,0.9563084431009492,2.6917647745673774,0.00011813996005305969,5.216452363063631e-16
42000,0.8,pc,128,0.5502789207497106,0.9563072318756091,2.691825884740732,6.088507049661159e-11,5.279244763161853e-16
42000,0.8,pc,512,0.550278920746459,0.9563072318748647,2.6918258847534413,7.516136626264523e-16,7.516136626264418e-16
42000,0.8,pc,4096,0.550278920746459,0.9563072318748647,2.6918258847534413,7.516136626264523e-16,7.516136626264523e-16
42000,0.8,alm_exact,8,0.29197812786638017,0.9829953847324017,1.652655134450412,0.23001987422965195,4.3508102019874574e-16
42000,0.8,alm_exact,32,0.013176944837395819,0.99996181858594,0.07685905521003794,0.009782428770322444,3.9427158171156666e-16
42000,0.8,alm_exact,128,2.7678830229993026e-06,0.9999999999961721,9.856282713944247e-06,1.2998217113705582e-06,4.023821032567601e-16
42000,0.8,alm_exact,512,1.6815040706176251e-15,1.0,3.0441367264344694e-15,8.096718409710598e-16,4.586628969915622e-16
42000,0.8,alm_exact,4096,8.267572038485385e-16,0.9999999999999998,9.060572144501757e-16,4.677215001532287e-16,4.677215001532287e-16
42000,0.8,alm_masked,8,0.30768510983655517,0.9750615237988535,1.6665002623120668,0.22988967199725013,4.673309957347204e-16
42000,0.8,alm_masked,32,0.1299158953851315,0.9915331371174619,0.07376375757543843,0.009492168618288326,3.736220685421513e-16
42000,0.8,alm_masked,128,0.12998942315823506,0.9916101545957051,1.3509337382295765e-06,1.5538584587017037e-07,3.8755568857162387e-16
42000,0.8,alm_masked,512,0.12998934996494815,0.9916101643684282,9.463961948885024e-16,4.631236162267984e-16,4.631635743909763e-16
42000,0.8,alm_masked,4096,0.12998934996494818,0.9916101643684282,8.981580007263456e-16,4.660568644861518e-16,4.660568644861518e-16
42001,0.4,pc,8,0.6299187837962977,0.8896876607382469,3.727650410300619,0.009321866246268665,4.0506511468549174e-16
42001,0.4,pc,32,0.6256368392016379,0.8857274332870573,3.7973243432676993,4.84002926855762e-05,4.791888458510394e-16
42001,0.4,pc,128,0.625630398010588,0.8857244524726319,3.79734572399795,1.4013037521161638e-11,5.044870143613856e-16
42001,0.4,pc,512,0.6256303980099295,0.8857244524725715,3.79734572399848,5.007515964520003e-16,5.007515964520003e-16
42001,0.4,pc,4096,0.6256303980099295,0.8857244524725715,3.79734572399848,5.007515964520003e-16,5.007515964520003e-16
42001,0.4,alm_exact,8,0.3750388687633043,0.9558622269077139,2.3631015048581863,0.32163681114179965,3.7587049151065403e-16
42001,0.4,alm_exact,32,0.018598870655179966,0.9999116161702287,0.11024973397198423,0.013781383247612411,3.1304253526705135e-16
42001,0.4,alm_exact,128,3.6770581759411957e-07,0.9999999999999326,1.3364468218814601e-06,2.2517214480018318e-07,3.324415765259928e-16
42001,0.4,alm_exact,512,6.09567692984144e-16,0.9999999999999999,8.570587382375211e-16,3.815208613785564e-16,3.815256509727602e-16
42001,0.4,alm_exact,4096,6.363625631797899e-16,0.9999999999999999,8.49837472194074e-16,3.804786353118025e-16,3.804786353118025e-16
42001,0.4,alm_masked,8,0.38063016238466246,0.9548487898196549,2.351383447106352,0.31865888021029476,3.9769032165335666e-16
42001,0.4,alm_masked,32,0.08012972534574717,0.9969613670261801,0.10706796426171127,0.013471346170744835,2.8817273340412527e-16
42001,0.4,alm_masked,128,0.0776582021058652,0.9970015649449447,5.668478498347128e-07,6.009454342064685e-08,2.9098773656445557e-16
42001,0.4,alm_masked,512,0.07765819122347133,0.9970015655491281,1.6656958984559162e-15,4.115482864269266e-16,4.115482794048525e-16
42001,0.4,alm_masked,4096,0.07765819122347133,0.9970015655491281,1.672158258512034e-15,4.1877558633834313e-16,4.1877558633834313e-16
42001,0.8,pc,8,0.6444102884499826,0.8814608678961731,3.7153872673161983,0.01700928138158588,4.0310058910892676e-16
