topology,method,seed,epoch,train_local_loss,train_forward_loss,train_accuracy,test_loss,test_accuracy,mean_residual_norm,mean_dual_norm
native,bp,0,1,1.2427096590399742,0.8644846677780151,0.32421875,0.8649041056632996,0.3203125,0.0,0.0
native,bp,0,2,0.6619061138480902,0.4846004843711853,0.5,0.4844359755516052,0.4921875,0.0,0.0
native,bp,0,3,0.40961180813610554,0.3561009168624878,0.55859375,0.35571184754371643,0.55859375,0.0,0.0
native,bp,0,4,0.3384257834404707,0.3184446096420288,0.517578125,0.3184722363948822,0.5078125,0.0,0.0
native,bp,0,5,0.3050362356007099,0.2888621389865875,0.68359375,0.2892424762248993,0.6875,0.0,0.0
native,bp,0,6,0.2753590773791075,0.25868526101112366,0.8359375,0.2595183253288269,0.8125,0.0,0.0
native,bp,0,7,0.24503448884934187,0.22793447971343994,0.896484375,0.22915756702423096,0.890625,0.0,0.0
native,bp,0,8,0.21340514533221722,0.19526387751102448,0.96484375,0.1967640072107315,0.9609375,0.0,0.0
native,bp,0,9,0.18016012758016586,0.16297227144241333,0.990234375,0.16491053998470306,0.98828125,0.0,0.0
native,bp,0,10,0.14915476273745298,0.13360795378684998,0.994140625,0.13569356501102448,1.0,0.0,0.0
native,bp,0,11,0.12194943660870194,0.10923732817173004,0.998046875,0.11123771220445633,1.0,0.0,0.0
native,bp,0,12,0.10072207730263472,0.09061809629201889,0.998046875,0.09239837527275085,1.0,0.0,0.0
native,pc,0,1,0.8878389038145542,0.8637371063232422,0.419921875,0.8641367554664612,0.39453125,0.4897706764895702,0.0
native,pc,0,2,0.4661477878689766,0.4868239462375641,0.484375,0.48665738105773926,0.47265625,0.36431011673024233,0.0
native,pc,0,3,0.2856400441378355,0.3592299520969391,0.55859375,0.3587680757045746,0.5546875,0.2939131842625405,0.0
native,pc,0,4,0.23493987508118153,0.3215278685092926,0.49609375,0.3213909864425659,0.48828125,0.2691791101436441,0.0
native,pc,0,5,0.21172355581074953,0.2930470108985901,0.697265625,0.29326632618904114,0.70703125,0.25699485082683776,0.0
native,pc,0,6,0.19116964656859636,0.2643309533596039,0.84375,0.264995813369751,0.81640625,0.24613767271512188,0.0
native,pc,0,7,0.17089163791388273,0.23538027703762054,0.892578125,0.23641327023506165,0.875,0.23443825710758878,0.0
native,pc,0,8,0.14987292978912592,0.2047271877527237,0.951171875,0.2060190886259079,0.94140625,0.22126558441959787,0.0
native,pc,0,9,0.127691937610507,0.17314033210277557,0.9921875,0.1748211532831192,0.9921875,0.20599366512275688,0.0
native,pc,0,10,0.10605383897200227,0.14274996519088745,0.99609375,0.14464233815670013,1.0,0.18938308982372595,0.0
native,pc,0,11,0.08605508087202907,0.11589598655700684,0.998046875,0.11778644472360611,1.0,0.17268492918568276,0.0
native,pc,0,12,0.06937399879097939,0.09448566287755966,1.0,0.09639713168144226,1.0,0.15737629012680068,0.0
native,pcalm,0,1,0.9096815921366215,0.8655930757522583,0.421875,0.865985631942749,0.41015625,0.466035568950853,1.3418865744461073
native,pcalm,0,2,0.47938824258744717,0.48960283398628235,0.48828125,0.4894236922264099,0.4765625,0.3472190164999726,1.0016345576950698
native,pcalm,0,3,0.29512674920260906,0.36157482862472534,0.5859375,0.3610840439796448,0.56640625,0.28041118802987813,0.8103104895926663
native,pcalm,0,4,0.24277986586093903,0.3232363164424896,0.48828125,0.32305994629859924,0.484375,0.25665000307102065,0.7418322934317985
native,pcalm,0,5,0.21885741967707872,0.29480379819869995,0.69140625,0.29498329758644104,0.6953125,0.24494331038052528,0.7079731741832802
native,pcalm,0,6,0.1979289036244154,0.2661583125591278,0.826171875,0.2667900621891022,0.80078125,0.23461776829208247,0.6782809934084071
native,pcalm,0,7,0.17723569832742214,0.2373325228691101,0.88671875,0.23833903670310974,0.86328125,0.22350619342372133,0.6463228297798196
native,pcalm,0,8,0.15582039672881365,0.20693208277225494,0.94921875,0.20820419490337372,0.93359375,0.2110920305325029,0.6105977225815877
native,pcalm,0,9,0.13322531944140792,0.17558035254478455,0.990234375,0.177242249250412,0.9921875,0.1967466072528623,0.5693651183246402
native,pcalm,0,10,0.11111691407859325,0.14536979794502258,0.99609375,0.1472454071044922,1.0,0.18115608524143076,0.5245536708680447
native,pcalm,0,11,0.09061925299465656,0.1184975728392601,0.998046875,0.12037497013807297,1.0,0.1654757788249602,0.47962108543288196
native,pcalm,0,12,0.07335008075460792,0.09682555496692657,0.998046875,0.09874293953180313,1.0,0.15099137243911778,0.4381181671851664
degree_preserving,bp,0,1,1.2482676059007645,0.9098883271217346,0.427734375,0.9080610275268555,0.40625,0.0,0.0
