method,control,paired_runs,accuracy_delta_mean,accuracy_delta_std,accuracy_native_win_rate,accuracy_auc_delta_mean,gradient_cosine_delta_mean
bp,degree_preserving,10,-0.008984375,0.1095616277319179,0.2,-0.019368489583333322,8.344650268554687e-08
bp,random,10,-0.058984375,0.10634840852229852,0.0,-0.039811197916666666,1.1920928955078126e-08
pc,degree_preserving,10,-0.00234375,0.1160564631874048,0.2,-0.020638020833333357,-0.006247469782829284
pc,random,10,-0.028125,0.05997503821035326,0.2,-0.040299479166666666,-0.05164693295955658
pcalm,degree_preserving,10,-0.00546875,0.11201247082263505,0.2,-0.02122395833333333,-0.010633721947669983
pcalm,random,10,-0.032421875,0.06481838317413531,0.2,-0.04121093750000001,-0.04823963940143585
