topology,method,runs,accuracy_mean,accuracy_std,best_accuracy_mean,accuracy_auc_mean,threshold_80pct_success_rate,epochs_to_80pct_mean,loss_mean,gradient_cosine_before_mean,gradient_cosine_after_mean,runtime_seconds_mean
native,bp,10,0.9140625,0.14061294315597733,0.915625,0.6185221354166667,0.9,8.666666666666666,0.16260493025183678,0.9999999821186065,1.0000000298023224,0.3803328274000705
native,pc,10,0.940625,0.07992288899785774,0.942578125,0.6224609375,0.9,7.888888888888889,0.16268226578831674,0.6096246391534805,0.5854556530714035,2.4143635400000676
native,pcalm,10,0.935546875,0.09111327543505102,0.9375,0.6194986979166667,0.9,7.888888888888889,0.16440337598323823,0.6327108085155487,0.6012165516614913,3.143467713899736
degree_preserving,bp,10,0.923046875,0.1506375925824797,0.923046875,0.637890625,0.8,8.125,0.15177899822592736,1.0000000476837159,0.9999999463558197,0.3911590585997146
degree_preserving,pc,10,0.94296875,0.12023243187098526,0.94296875,0.6430989583333334,0.8,8.0,0.14920048117637635,0.7368992447853089,0.5917031228542328,2.4235498772003665
degree_preserving,pcalm,10,0.941015625,0.12134480583532122,0.941015625,0.64072265625,0.8,8.0,0.15055341571569442,0.7504877209663391,0.6118502736091613,3.1636029649000195
random,bp,10,0.973046875,0.05742320364109138,0.973046875,0.6583333333333333,1.0,8.0,0.14898913502693176,0.9999999344348908,1.0000000178813935,0.42212143079996167
random,pc,10,0.96875,0.06492161907457245,0.96875,0.6627604166666667,1.0,8.1,0.14706962555646896,0.7585843026638031,0.63710258603096,2.5104623718005312
random,pcalm,10,0.96796875,0.0665159428988436,0.96796875,0.6607096354166667,1.0,8.1,0.1477229729294777,0.7683995306491852,0.6494561910629273,3.1384829010998145
