phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
evaluation,47002,pc,0.003,1,0.43869257718139276,0.26,0.017701885708062845
evaluation,47002,pc,0.003,2,0.40116071234194917,0.37666666666666665,0.017772013072888768
evaluation,47002,pc,0.003,3,0.35643729583224937,0.5866666666666667,0.017969892270709855
evaluation,47002,pc,0.003,4,0.3258082044171374,0.7333333333333333,0.018232012177286566
evaluation,47002,pc,0.003,5,0.30345286592378157,0.7566666666666667,0.01954976811100633
evaluation,47002,pc,0.003,6,0.28858926953345415,0.8066666666666666,0.0199905680372831
evaluation,47002,pc,0.003,7,0.2772917708599586,0.79,0.022184392837513556
evaluation,47002,pc,0.003,8,0.26762746023509826,0.8,0.022471241318608403
evaluation,47002,pc,0.003,9,0.26027506628774566,0.8,0.023569082330026195
evaluation,47002,pc,0.003,10,0.254624957195193,0.8166666666666667,0.022624112222859965
evaluation,47002,pc,0.003,11,0.2498944610013298,0.8133333333333334,0.02526495639679838
evaluation,47002,pc,0.003,12,0.24617570243936218,0.8333333333333334,0.02517239706684169
evaluation,47002,pc,0.003,13,0.24387404153152137,0.84,0.024622926312072073
evaluation,47002,pc,0.003,14,0.2413126540647563,0.8266666666666667,0.02558804730234692
evaluation,47002,pc,0.003,15,0.2394564640472639,0.84,0.02520866103982201
evaluation,47002,pc,0.003,16,0.23712172419837885,0.8566666666666667,0.02523928866759832
evaluation,47002,pc,0.003,17,0.23640734452854378,0.8533333333333334,0.025764904300899227
evaluation,47002,pc,0.003,18,0.2348782209222021,0.86,0.027892986985948182
evaluation,47002,pc,0.003,19,0.23415993668961496,0.8633333333333333,0.027752170972290883
evaluation,47002,pc,0.003,20,0.23385607114094184,0.8633333333333333,0.02712283050497078
