phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
development,46001,pc,0.003,1,0.42573533120916895,0.2866666666666667,0.018854062742601825
development,46001,pc,0.003,2,0.39232879367913304,0.4066666666666667,0.019086323507529295
development,46001,pc,0.003,3,0.35070450262289055,0.67,0.01908123689310951
development,46001,pc,0.003,4,0.3220464497130257,0.7533333333333333,0.019469689267453377
development,46001,pc,0.003,5,0.3035135231676315,0.7966666666666666,0.020414627551881212
development,46001,pc,0.003,6,0.2867373852343716,0.8366666666666667,0.020677042511008516
development,46001,pc,0.003,7,0.27483379109052997,0.8533333333333334,0.021670125023990083
development,46001,pc,0.003,8,0.26490512148043716,0.8633333333333333,0.022726650507492615
development,46001,pc,0.003,9,0.257117834510756,0.86,0.023124092069713154
development,46001,pc,0.003,10,0.2505088541518505,0.8666666666666667,0.023385293034565106
development,46001,pc,0.003,11,0.24532705561436832,0.8733333333333333,0.024074653797785776
development,46001,pc,0.003,12,0.24034580070883654,0.88,0.024848346406020898
development,46001,pc,0.003,13,0.23715376149493783,0.8833333333333333,0.02595332232260729
development,46001,pc,0.003,14,0.23351293612990162,0.8766666666666667,0.024661381944276067
development,46001,pc,0.003,15,0.2308459140398636,0.88,0.025654843100168988
development,46001,pc,0.003,16,0.22779747232794795,0.8833333333333333,0.02585059725705338
development,46001,pc,0.003,17,0.22561811475393825,0.8866666666666667,0.02633563088932766
development,46001,pc,0.003,18,0.2235166856199174,0.8866666666666667,0.026369419789974813
development,46001,pc,0.003,19,0.22223859899021836,0.9033333333333333,0.026303527843071713
development,46001,pc,0.003,20,0.2208425809798416,0.8966666666666666,0.02720521886887978
