phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
development,46000,masked,0.003,1,0.5062239037659471,0.22666666666666666,0.0023582881924572026
development,46000,masked,0.003,2,0.42282340312770333,0.39,0.0021553658197658206
development,46000,masked,0.003,3,0.3843884209794778,0.57,0.0020570029989586324
development,46000,masked,0.003,4,0.35683730109827255,0.64,0.002070358508365044
development,46000,masked,0.003,5,0.33625020452710414,0.6933333333333334,0.002126983251134282
development,46000,masked,0.003,6,0.31954166439299714,0.7233333333333334,0.0021236567728547895
development,46000,masked,0.003,7,0.3078306462567321,0.7433333333333333,0.0021892845433394846
development,46000,masked,0.003,8,0.2981000004664404,0.76,0.0022111499871849574
development,46000,masked,0.003,9,0.2892673375839005,0.79,0.0021948203161714606
development,46000,masked,0.003,10,0.2810592906837739,0.8166666666666667,0.002247107252920312
development,46000,masked,0.003,11,0.27362984072010493,0.8366666666666667,0.00218253895681119
development,46000,masked,0.003,12,0.266271320046986,0.8533333333333334,0.0021864840908992307
development,46000,masked,0.003,13,0.2595273426754403,0.8566666666666667,0.0021918177911260726
development,46000,masked,0.003,14,0.25376710203761704,0.8633333333333333,0.002198526778346176
development,46000,masked,0.003,15,0.24822330511813087,0.87,0.002127207070795344
development,46000,masked,0.003,16,0.2436815614534232,0.87,0.0021215562737070077
development,46000,masked,0.003,17,0.24014642525328408,0.8766666666666667,0.0021247350569718205
development,46000,masked,0.003,18,0.23693050229914414,0.8766666666666667,0.0021189868733150433
development,46000,masked,0.003,19,0.23497542750218894,0.89,0.002107668347231208
development,46000,masked,0.003,20,0.23315516086862714,0.89,0.002132079804305856
