phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
evaluation,47004,pc,0.003,1,0.45302792863297364,0.22,0.0178228036288306
evaluation,47004,pc,0.003,2,0.40024036647562217,0.43,0.017865338934082816
evaluation,47004,pc,0.003,3,0.3626957279232687,0.6033333333333334,0.017760979053135617
evaluation,47004,pc,0.003,4,0.3336534171809723,0.67,0.018284450521003075
evaluation,47004,pc,0.003,5,0.3117248658058166,0.7033333333333334,0.020000775695354554
evaluation,47004,pc,0.003,6,0.29393285318327733,0.7266666666666667,0.020866175706792636
evaluation,47004,pc,0.003,7,0.28000083220712535,0.79,0.021402448113428996
evaluation,47004,pc,0.003,8,0.26875623464732973,0.8233333333333334,0.022238449588435728
evaluation,47004,pc,0.003,9,0.25927734526599927,0.83,0.023663605030298088
evaluation,47004,pc,0.003,10,0.2518914162476302,0.8366666666666667,0.024581855202270717
evaluation,47004,pc,0.003,11,0.24600613912936548,0.8533333333333334,0.024711238530558625
evaluation,47004,pc,0.003,12,0.24079245796614818,0.8666666666666667,0.025563077599443727
evaluation,47004,pc,0.003,13,0.23695423027553203,0.8633333333333333,0.02522139361701058
evaluation,47004,pc,0.003,14,0.23332077110095767,0.8666666666666667,0.025539907285900977
evaluation,47004,pc,0.003,15,0.23081819790753136,0.88,0.02616778296934817
evaluation,47004,pc,0.003,16,0.22805902957021346,0.8733333333333333,0.027627208107939977
evaluation,47004,pc,0.003,17,0.22631338800004955,0.88,0.027256668818821887
evaluation,47004,pc,0.003,18,0.22496546985819252,0.8766666666666667,0.027242230186851898
evaluation,47004,pc,0.003,19,0.22368726669597455,0.8866666666666667,0.02726382586507972
evaluation,47004,pc,0.003,20,0.222969502330939,0.88,0.02698844523666684
