phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
evaluation,47000,readout,0.003,1,0.46972115876979537,0.24666666666666667,0.0
evaluation,47000,readout,0.003,2,0.4136472248907748,0.41,0.0
evaluation,47000,readout,0.003,3,0.38326239190551453,0.57,0.0
evaluation,47000,readout,0.003,4,0.3590828162599566,0.6266666666666667,0.0
evaluation,47000,readout,0.003,5,0.338188709821682,0.6766666666666666,0.0
evaluation,47000,readout,0.003,6,0.3218197111538897,0.7133333333333334,0.0
evaluation,47000,readout,0.003,7,0.30936283915201696,0.7233333333333334,0.0
evaluation,47000,readout,0.003,8,0.29929012215710354,0.7466666666666667,0.0
evaluation,47000,readout,0.003,9,0.2908104399184176,0.7766666666666666,0.0
evaluation,47000,readout,0.003,10,0.28381798058264884,0.79,0.0
evaluation,47000,readout,0.003,11,0.2779271610908816,0.8033333333333333,0.0
evaluation,47000,readout,0.003,12,0.272917516190425,0.8066666666666666,0.0
evaluation,47000,readout,0.003,13,0.26846680340970563,0.81,0.0
evaluation,47000,readout,0.003,14,0.26451317463388063,0.82,0.0
evaluation,47000,readout,0.003,15,0.26118733413173423,0.8233333333333334,0.0
evaluation,47000,readout,0.003,16,0.25801650727103154,0.83,0.0
evaluation,47000,readout,0.003,17,0.255130963874845,0.83,0.0
evaluation,47000,readout,0.003,18,0.2525512588467285,0.8366666666666667,0.0
evaluation,47000,readout,0.003,19,0.25030087942140217,0.8366666666666667,0.0
evaluation,47000,readout,0.003,20,0.24810419313590926,0.85,0.0
