phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
development,46001,masked,0.003,1,0.42669924515300534,0.27666666666666667,0.0023000278730442793
development,46001,masked,0.003,2,0.3956662697969686,0.4066666666666667,0.0022051109851739634
development,46001,masked,0.003,3,0.3593290196156367,0.65,0.0021243194956194955
development,46001,masked,0.003,4,0.33065911873578924,0.7233333333333334,0.002078463218644185
development,46001,masked,0.003,5,0.31351098160971275,0.7666666666666667,0.002123463872242284
development,46001,masked,0.003,6,0.29851446166437806,0.8366666666666667,0.002112177366331766
development,46001,masked,0.003,7,0.28701804790084245,0.8366666666666667,0.0021387686209304686
development,46001,masked,0.003,8,0.27831385382737567,0.86,0.0022310622776700257
development,46001,masked,0.003,9,0.2700637969893459,0.8566666666666667,0.002231253854079304
development,46001,masked,0.003,10,0.26226796737261016,0.8733333333333333,0.002219829381803358
development,46001,masked,0.003,11,0.255431987681123,0.89,0.002218221600807958
development,46001,masked,0.003,12,0.24947568381410837,0.89,0.0022627658308109672
development,46001,masked,0.003,13,0.24516518774615126,0.89,0.0022963952662962447
development,46001,masked,0.003,14,0.24127700420907544,0.9,0.0021551252074939182
development,46001,masked,0.003,15,0.23770065201568608,0.91,0.0022005866154006497
development,46001,masked,0.003,16,0.23513220329269804,0.9066666666666666,0.0021968924699196824
development,46001,masked,0.003,17,0.23223328375390367,0.91,0.002195868515007524
development,46001,masked,0.003,18,0.23028199211493852,0.9133333333333333,0.002165096703418567
development,46001,masked,0.003,19,0.2281182344533421,0.91,0.002148169333119784
development,46001,masked,0.003,20,0.22680343602600953,0.92,0.0021782874009421927
