phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
evaluation,47002,masked,0.003,1,0.43934063163649095,0.23666666666666666,0.002175312404896732
evaluation,47002,masked,0.003,2,0.40443832000497615,0.36,0.0020801989853639668
evaluation,47002,masked,0.003,3,0.3639021684342944,0.59,0.002020640027973714
evaluation,47002,masked,0.003,4,0.336253405391172,0.7133333333333334,0.0019924785617376744
evaluation,47002,masked,0.003,5,0.31368144088388045,0.7733333333333333,0.002043244223280719
evaluation,47002,masked,0.003,6,0.2984575028265412,0.7933333333333333,0.0020313534703800974
evaluation,47002,masked,0.003,7,0.2873471746405135,0.7933333333333333,0.0021569415367004674
evaluation,47002,masked,0.003,8,0.2777747237205543,0.8066666666666666,0.00215862151626603
evaluation,47002,masked,0.003,9,0.27055014316757825,0.8166666666666667,0.0021893325472598195
evaluation,47002,masked,0.003,10,0.26483656557344215,0.8133333333333334,0.0021334316994867193
evaluation,47002,masked,0.003,11,0.25974696775886597,0.8166666666666667,0.002259510724070438
evaluation,47002,masked,0.003,12,0.25531443847165197,0.8233333333333334,0.00222274405479033
evaluation,47002,masked,0.003,13,0.2518992239108756,0.8366666666666667,0.002170427141129751
evaluation,47002,masked,0.003,14,0.24816908502685475,0.8366666666666667,0.002160146650313287
evaluation,47002,masked,0.003,15,0.24556677404383162,0.83,0.002155391066073056
evaluation,47002,masked,0.003,16,0.24263365179725865,0.85,0.002130797364505276
evaluation,47002,masked,0.003,17,0.2405261024419638,0.8566666666666667,0.0021424384265553926
evaluation,47002,masked,0.003,18,0.23836663290994817,0.85,0.002234063480482543
evaluation,47002,masked,0.003,19,0.23649968618008813,0.8533333333333334,0.0022035681597487923
evaluation,47002,masked,0.003,20,0.2348787882606454,0.8533333333333334,0.0021595836335339897
