phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
development,46001,masked,0.001,1,0.47575060319101303,0.19,0.0024408612058395736
development,46001,masked,0.001,2,0.44300494866280066,0.2633333333333333,0.0023366098399633015
development,46001,masked,0.001,3,0.42396465537805184,0.2833333333333333,0.0022923522084436917
development,46001,masked,0.001,4,0.41055237883332363,0.33666666666666667,0.0022259601711155865
development,46001,masked,0.001,5,0.39820038724365664,0.4066666666666667,0.002209468832224628
development,46001,masked,0.001,6,0.38586367510138425,0.5,0.0021505832434624166
development,46001,masked,0.001,7,0.3738598049952504,0.6,0.0021310293563169824
development,46001,masked,0.001,8,0.36225521168152125,0.6666666666666666,0.002100961308463183
development,46001,masked,0.001,9,0.3509602588815104,0.7,0.0020942773576727736
development,46001,masked,0.001,10,0.33995641623534256,0.7266666666666667,0.002049448745831283
development,46001,masked,0.001,11,0.33301532490073643,0.7666666666666667,0.002047474103212859
development,46001,masked,0.001,12,0.3266548994145577,0.7833333333333333,0.0020744871745274136
development,46001,masked,0.001,13,0.3206432184318445,0.8033333333333333,0.0021393085162360772
development,46001,masked,0.001,14,0.3150782657802095,0.8133333333333334,0.002076689278051718
development,46001,masked,0.001,15,0.30995432305479315,0.8266666666666667,0.002117668332230239
development,46001,masked,0.001,16,0.30513343714236696,0.8366666666666667,0.0020957331533950022
development,46001,masked,0.001,17,0.30037798417769673,0.8366666666666667,0.0021220915362522392
development,46001,masked,0.001,18,0.296027627412936,0.84,0.0021654232498214206
development,46001,masked,0.001,19,0.29195314508821374,0.8533333333333334,0.00213223773411961
development,46001,masked,0.001,20,0.287849682614053,0.8533333333333334,0.0021926352508235183
