phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
evaluation,47001,masked,0.003,1,0.4756360894325737,0.09,0.002294132513964975
evaluation,47001,masked,0.003,2,0.42822723158838,0.2866666666666667,0.002162921101489757
evaluation,47001,masked,0.003,3,0.39102292152881224,0.51,0.00212143737973903
evaluation,47001,masked,0.003,4,0.3578666315633239,0.6633333333333333,0.0020889745151323317
evaluation,47001,masked,0.003,5,0.33139614022191305,0.7133333333333334,0.002068981611846945
evaluation,47001,masked,0.003,6,0.31251395161561596,0.7533333333333333,0.002145691492875032
evaluation,47001,masked,0.003,7,0.298921453592295,0.7833333333333333,0.002152155120164092
evaluation,47001,masked,0.003,8,0.28812435611635046,0.7966666666666666,0.0022556994819565414
evaluation,47001,masked,0.003,9,0.27889066925368816,0.8166666666666667,0.0022961141287941244
evaluation,47001,masked,0.003,10,0.2713960517072502,0.8366666666666667,0.002258406944299866
evaluation,47001,masked,0.003,11,0.26494686857548166,0.8266666666666667,0.0022579023842277672
evaluation,47001,masked,0.003,12,0.2589499027457722,0.8266666666666667,0.002324228554299164
evaluation,47001,masked,0.003,13,0.253959078854626,0.8466666666666667,0.002264752885454115
evaluation,47001,masked,0.003,14,0.2503547569835197,0.83,0.0022090555061650523
evaluation,47001,masked,0.003,15,0.24614956687502076,0.8433333333333334,0.0022170229610512454
evaluation,47001,masked,0.003,16,0.24277841529042773,0.8466666666666667,0.0021973949917541043
evaluation,47001,masked,0.003,17,0.2400379236061828,0.8566666666666667,0.0021875572785849157
evaluation,47001,masked,0.003,18,0.2374447004285426,0.8466666666666667,0.0021869791020612877
evaluation,47001,masked,0.003,19,0.23485685045743945,0.8633333333333333,0.002215129904458282
evaluation,47001,masked,0.003,20,0.23270209205065318,0.8566666666666667,0.0021922206840733214
