phase,seed,method,lr,epoch,validation_loss,validation_accuracy,residual
evaluation,47000,masked,0.003,1,0.4498335948032688,0.23333333333333334,0.0023648270466867043
evaluation,47000,masked,0.003,2,0.3983714432573863,0.4866666666666667,0.0022218757831463432
evaluation,47000,masked,0.003,3,0.36392434007164665,0.6333333333333333,0.002195140603116746
evaluation,47000,masked,0.003,4,0.3336241353881094,0.6933333333333334,0.002099750370705709
evaluation,47000,masked,0.003,5,0.31245979610958885,0.7233333333333334,0.002169329210578899
evaluation,47000,masked,0.003,6,0.29736562147696516,0.7666666666666667,0.0022291840976815104
evaluation,47000,masked,0.003,7,0.28627744147061035,0.7833333333333333,0.0022167958655539936
evaluation,47000,masked,0.003,8,0.2777823357569616,0.79,0.0021886971800230922
evaluation,47000,masked,0.003,9,0.2706566619474044,0.8,0.002308123566055724
evaluation,47000,masked,0.003,10,0.2644326245847797,0.8066666666666666,0.0022372591120784916
evaluation,47000,masked,0.003,11,0.2581880320440206,0.82,0.0022575296188853027
evaluation,47000,masked,0.003,12,0.25322660968118593,0.8233333333333334,0.0022207478454864464
evaluation,47000,masked,0.003,13,0.24883018896982634,0.8266666666666667,0.002277305714527609
evaluation,47000,masked,0.003,14,0.24474794371581396,0.8366666666666667,0.002273469782743474
evaluation,47000,masked,0.003,15,0.24143116503615622,0.85,0.002255366494166853
evaluation,47000,masked,0.003,16,0.23817243666415114,0.8566666666666667,0.002245801330652256
evaluation,47000,masked,0.003,17,0.23527573555991899,0.86,0.00224895745350884
evaluation,47000,masked,0.003,18,0.2327207686860852,0.86,0.0022461295222594505
evaluation,47000,masked,0.003,19,0.23043999811507865,0.87,0.0022636440792569686
evaluation,47000,masked,0.003,20,0.22859541984940723,0.8633333333333333,0.002363039035120876
