dataset,method,width,depth,activation,seed,budget,alpha,state_lr,rho,learning_rate,eta0,gamma0,epochs,batch_size,train_subset,test_subset,steps,final_train_acc,final_test_acc,final_train_mse,final_test_mse,grad_cos_to_bp
fashion_mnist,bp,32,32,relu,0,0,0.0,0.23588549900873967,1.0,0.001,0.001,1.0,1,64,60000,10000,937,0.7960666666666667,0.7865,0.1710031843662262,0.17593590252399444,1.0000001192092896
fashion_mnist,pc,32,32,relu,0,64,0.0,0.23588549900873967,1.0,0.001,0.001,1.0,1,64,60000,10000,937,0.6923333333333334,0.6817,0.26691876980463664,0.2698896448135376,0.602024495601654
fashion_mnist,pcalm,32,32,relu,0,64,1.0,0.23588549900873967,1.0,0.001,0.001,1.0,1,64,60000,10000,937,0.7877833333333333,0.7773,0.17982511104742685,0.1845188491344452,0.9100212454795837
