task,seed,method,budget,hidden_cosine,all_cosine,residual
linear,1204,shuffle,2,0.8533891584925731,0.6023930998618724,0.08246669200553823
linear,1204,shuffle,4,0.8573272746944189,0.6107737669781519,0.12325182753389871
linear,1204,shuffle,8,0.8485648701946936,0.6404851679087284,0.15104319216392392
linear,1204,shuffle,16,0.8184630419767213,0.6839446121781376,0.14746353294199774
linear,1204,shuffle,32,0.8299545896786388,0.7499650977195276,0.1255988753117419
linear,1205,shuffle,1,0.8661963570384775,0.4821634951308343,0.040996342298679975
linear,1205,shuffle,2,0.8740453981327974,0.5456923531291372,0.07019145557334287
linear,1205,shuffle,4,0.8795332720279765,0.6161630643411289,0.10626294647848894
linear,1205,shuffle,8,0.87216191718576,0.6773885309938376,0.13325469996472394
linear,1205,shuffle,16,0.8482014152676608,0.731846681903297,0.1322973804625069
linear,1205,shuffle,32,0.861430156105017,0.810801022062115,0.10978351560278009
linear,1206,shuffle,1,0.8099743356507854,0.5193797716461751,0.04143214795020732
linear,1206,shuffle,2,0.8201526120650844,0.5500509774928498,0.070848931543811
linear,1206,shuffle,4,0.8276482130839043,0.5726957509890318,0.10702564292273654
linear,1206,shuffle,8,0.8176266269072218,0.5997692518526665,0.13383749531077874
linear,1206,shuffle,16,0.7755376717697627,0.633183781794511,0.1346653032148813
linear,1206,shuffle,32,0.7840811930366226,0.7150064762382493,0.12084990112019929
linear,1207,shuffle,1,0.8450371343360833,0.5600330070711503,0.037979715994232936
linear,1207,shuffle,2,0.8554053353613608,0.6036836249999883,0.06595343711878926
linear,1207,shuffle,4,0.8669392399061322,0.6628629412469492,0.10162674464388025
linear,1207,shuffle,8,0.8695932069166725,0.7177640713982993,0.12902731228168307
linear,1207,shuffle,16,0.8548088129872596,0.7566330053614948,0.12692696517570565
linear,1207,shuffle,32,0.8749829029709232,0.8289018710093639,0.10257945311220663
linear,1208,shuffle,1,0.8340169449467009,0.5164024028254435,0.040288807523043056
linear,1208,shuffle,2,0.8446436891105005,0.5671674197772508,0.0669265370517257
linear,1208,shuffle,4,0.854299677983701,0.6349540856513465,0.09851119294326503
linear,1208,shuffle,8,0.8570060846165368,0.6827472593542064,0.12275981942568813
