pre,post,synapses,pre_layer,post_layer
10353,11055,6,1,0
10353,25772,6,1,0
10224,12488,6,1,1
10224,10998,6,1,2
10421,10936,6,1,0
10421,10644,6,1,1
10494,520606,6,2,1
522346,13080,6,1,1
14551,11883,6,2,1
14551,10583,6,2,2
13080,520188,6,1,2
13080,23112,6,1,2
13111,10898,6,2,1
520188,12525,6,2,2
520188,10372,6,2,0
520188,10056,6,2,3
520188,23112,6,2,2
10001,12041,6,3,2
10494,10421,6,2,1
10494,10995,6,2,1
47042,10274,6,2,3
520606,10780,6,1,2
520606,10609,6,1,1
10248,10224,5,0,1
10995,15266,5,1,1
10995,11675,5,1,2
11675,10115,5,2,2
11675,12262,5,2,2
12215,11303,5,1,1
12215,11654,5,1,1
11055,11017,5,0,1
11055,10580,5,0,3
10045,256420,5,3,3
10045,11532,5,3,1
10224,10448,5,1,1
10224,10098,5,1,2
11043,10224,5,2,1
11043,10172,5,2,1
11043,10644,5,2,1
520188,22607,5,2,2
520188,10936,5,2,0
520188,12323,5,2,2
11532,12323,5,1,2
11532,11303,5,1,1
11532,11133,5,1,3
11532,10329,5,1,2
11532,10558,5,1,3
11532,10372,5,1,0
11532,25648,5,1,0
11532,25772,5,1,0
10241,10719,5,1,1
10241,11017,5,1,1
10241,10082,5,1,2
10241,15266,5,1,1
11017,521375,5,1,2
11018,11118,5,1,2
11017,11043,5,1,2
11017,10719,5,1,1
12276,520606,5,1,1
12276,10579,5,1,0
10228,256420,5,3,3
10234,10998,5,3,2
10234,256420,5,3,3
10231,21568,5,0,1
12488,10115,5,1,2
10867,12525,5,2,2
10867,10896,5,2,0
10867,10583,5,2,2
31440,12769,5,2,2
10001,10091,5,3,3
12525,12020,5,2,2
12525,11727,5,2,2
12525,10091,5,2,3
10329,15306,5,2,3
10283,10301,5,3,3
14789,10583,5,1,2
10923,10001,5,3,3
520606,10445,5,1,0
520606,13111,5,1,2
24994,26448,5,0,0
10936,12957,5,0,0
10936,10398,5,0,0
10936,11367,5,0,1
10301,12323,5,3,2
10879,10719,5,1,1
10879,522346,5,1,1
11601,10584,5,1,3
11601,11727,5,1,2
11601,10936,5,1,0
11601,10082,5,1,2
11601,12628,5,1,3
11601,532050,5,1,3
10896,12628,5,0,3
10896,11133,5,0,3
10896,10583,5,0,2
10898,10584,5,1,3
12423,11601,5,1,1
11654,10241,5,1,1
11654,22607,5,1,2
38591,25013,5,0,0
10297,12215,5,2,1
10297,12769,5,2,2
11927,31440,5,1,2
522346,12507,5,1,2
522346,10583,5,1,2
26808,25742,5,0,0
26808,10558,5,0,3
26808,11532,5,0,1
523672,11017,5,2,1
523672,10879,5,2,1
523672,13271,5,2,1
25742,22435,5,0,0
10115,523512,5,2,1
10115,10609,5,2,1
10115,10780,5,2,2
11303,47042,5,1,2
11303,532050,5,1,3
11303,22607,5,1,2
11303,12885,5,1,3
11303,12957,5,1,0
11303,10297,5,1,2
11303,10898,5,1,1
11303,10780,5,1,2
11303,15306,5,1,3
11303,13111,5,1,2
11303,12525,5,1,2
25648,12323,5,0,2
25648,26349,5,0,0
22646,517329,5,0,0
22646,13271,5,0,1
15266,11017,5,1,1
10082,10867,5,2,2
10082,10353,5,2,1
10082,12041,5,2,2
10082,11762,5,2,1
10082,11883,5,2,1
10098,47042,5,2,2
10098,10172,5,2,1
11883,14551,5,1,2
523512,11927,5,1,1
523512,11303,5,1,1
523512,522346,5,1,1
23112,10867,5,2,2
23112,11017,5,2,1
523528,22607,5,1,2
26349,33650,5,0,0
26349,22435,5,0,0
26349,10583,5,0,2
26349,25648,5,0,0
11367,22607,5,1,2
11367,10558,5,1,3
11133,10879,5,3,1
11133,11017,5,3,1
11133,11927,5,3,1
11125,11303,5,2,1
11125,10936,5,2,0
11507,10995,5,1,1
11507,12525,5,1,2
11507,11240,5,1,2
11507,522346,5,1,1
11507,532050,5,1,3
10172,524521,5,1,1
21568,11055,5,1,0
21568,11018,5,1,1
21568,10644,5,1,1
21568,25742,5,1,0
12020,10091,5,2,3
12018,11303,5,2,1
11240,12488,5,2,1
22435,26349,5,0,0
22435,26808,5,0,0
524521,523512,5,1,1
524521,11883,5,1,1
524521,10364,5,1,1
524521,10224,5,1,1
12041,532050,5,2,3
11727,11601,5,2,1
11727,10584,5,2,3
10558,12323,5,3,2
10580,12215,5,3,1
10417,10172,5,3,1
10417,10045,5,3,3
10364,10998,5,1,2
10580,10448,5,3,1
10584,10056,5,3,3
10584,12444,5,3,2
33650,25772,5,0,0
33650,22435,5,0,0
33650,26349,5,0,0
10583,520188,5,2,2
10583,22607,5,2,2
10583,10082,5,2,2
10421,12276,5,1,1
10609,11018,5,1,1
10609,11303,5,1,1
10609,10448,5,1,1
12957,10421,5,0,1
12957,11654,5,0,1
12769,10719,5,2,1
12769,10234,5,2,3
10421,10448,5,1,1
10719,11654,5,1,1
10719,10879,5,1,1
10719,10936,5,1,0
10719,10609,5,1,1
10719,12957,5,1,0
10719,11883,5,1,1
10719,521375,5,1,2
13367,11367,5,1,1
13367,12525,5,1,2
10719,31440,5,1,2
10579,11018,5,0,1
13080,10995,5,1,1
13367,523528,5,1,1
10448,10234,5,1,3
10448,12769,5,1,2
10476,10995,5,0,1
13111,10879,5,2,1
13111,12423,5,2,1
13111,10241,5,2,1
13111,14789,5,2,1
10494,11240,5,2,2
10494,11125,5,2,2
10494,11927,5,2,1
10780,10098,5,2,2
13271,520188,5,1,2
13271,517329,5,1,0
13271,26448,5,1,0
10353,523528,5,1,1
13271,38591,5,1,0
10353,10091,5,1,3
13271,25013,5,1,0
10353,11762,5,1,1
10353,25423,5,1,0
