task,seed,method,epoch,validation_mse
linear,1203,bp,34,0.424866042588744
linear,1203,bp,35,0.42258595800543874
linear,1203,bp,36,0.4206299270146792
linear,1203,bp,37,0.41969669345504745
linear,1203,bp,38,0.41710479023677455
linear,1203,bp,39,0.4151435132935082
linear,1203,bp,40,0.4139404919316676
linear,1203,bp,41,0.4131132475406564
linear,1203,bp,42,0.41012629315476207
linear,1203,bp,43,0.4090686517017265
linear,1203,bp,44,0.4064969091934154
linear,1203,bp,45,0.40667013438124
linear,1203,bp,46,0.40455419084850724
linear,1203,bp,47,0.4023198388149339
linear,1203,bp,48,0.40144413812672264
linear,1203,bp,49,0.39918378692356055
linear,1203,bp,50,0.40055696097916016
linear,1203,bp,51,0.3987230725055977
linear,1203,bp,52,0.3956555256594685
linear,1203,bp,53,0.39454279513142104
linear,1203,bp,54,0.392729619750633
linear,1203,bp,55,0.39194367419479037
linear,1203,bp,56,0.3885728505755792
linear,1203,bp,57,0.38769666355126375
linear,1203,bp,58,0.3850997487251934
linear,1203,bp,59,0.3843164456113617
linear,1203,bp,60,0.3815569727630124
linear,1204,bp,1,1.1480954870415119
linear,1204,bp,2,0.9829292946410213
linear,1204,bp,3,0.8989273028592706
linear,1204,bp,4,0.843958943652973
linear,1204,bp,5,0.7936948695341464
linear,1204,bp,6,0.7508318566559016
linear,1204,bp,7,0.7157883219026645
linear,1204,bp,8,0.6866567535888283
linear,1204,bp,9,0.6626365410993921
linear,1204,bp,10,0.64127803968366
linear,1204,bp,11,0.623197751901063
linear,1204,bp,12,0.6068041810362352
linear,1204,bp,13,0.592233521472528
linear,1204,bp,14,0.578258256257275
linear,1204,bp,15,0.567773453433698
linear,1204,bp,16,0.5561379210864557
linear,1204,bp,17,0.5468729374308487
linear,1204,bp,18,0.5366568760795021
linear,1204,bp,19,0.5272289172330488
linear,1204,bp,20,0.5185490726821087
linear,1204,bp,21,0.512241943935764
linear,1204,bp,22,0.5037958901994669
linear,1204,bp,23,0.4961115291997202
linear,1204,bp,24,0.48989298390381836
linear,1204,bp,25,0.48454255351460257
linear,1204,bp,26,0.47853095615454017
linear,1204,bp,27,0.47425478728906034
linear,1204,bp,28,0.46954716743880126
linear,1204,bp,29,0.4645674375989492
linear,1204,bp,30,0.46171336820433195
linear,1204,bp,31,0.4584524719724859
linear,1204,bp,32,0.45310690437570306
linear,1204,bp,33,0.44947495125283093
linear,1204,bp,34,0.4462200621531179
linear,1204,bp,35,0.4443950768510673
linear,1204,bp,36,0.44193396309663324
linear,1204,bp,37,0.43781048624033786
linear,1204,bp,38,0.43474843487684617
linear,1204,bp,39,0.43189654637353975
linear,1204,bp,40,0.43106205404436754
linear,1204,bp,41,0.42948841996617504
linear,1204,bp,42,0.428208650450629
linear,1204,bp,43,0.4248212887189688
linear,1204,bp,44,0.4242220864996555
linear,1204,bp,45,0.4222279520403776
linear,1204,bp,46,0.42151924975498284
linear,1204,bp,47,0.4210858365688672
linear,1204,bp,48,0.41936137158724524
linear,1204,bp,49,0.4199745988520836
linear,1204,bp,50,0.4158994981870541
linear,1204,bp,51,0.4161273216220522
linear,1204,bp,52,0.4147944078002724
linear,1204,bp,53,0.41471017969056384
linear,1204,bp,54,0.4117215485178673
linear,1204,bp,55,0.4113756306103969
linear,1204,bp,56,0.41247472364315624
linear,1204,bp,57,0.4112676158159503
linear,1204,bp,58,0.40856910736555596
linear,1204,bp,59,0.4100479526084741
linear,1204,bp,60,0.4077047421653888
linear,1205,bp,1,1.1010874463840272
linear,1205,bp,2,0.9832229389148055
linear,1205,bp,3,0.9133516587213192
linear,1205,bp,4,0.8666634258029151
linear,1205,bp,5,0.8260377747499664
linear,1205,bp,6,0.7890232678494452
linear,1205,bp,7,0.7582993555698723
linear,1205,bp,8,0.7314916144685907
linear,1205,bp,9,0.7048876823488538
linear,1205,bp,10,0.6800853170668569
linear,1205,bp,11,0.6535778803690849
linear,1205,bp,12,0.627448379314486
linear,1205,bp,13,0.60360902823728
linear,1205,bp,14,0.5822982026396901
linear,1205,bp,15,0.5617202814345571
linear,1205,bp,16,0.5433749707944365
linear,1205,bp,17,0.5266697126040304
linear,1205,bp,18,0.5135397811101637
linear,1205,bp,19,0.5007402519094238
linear,1205,bp,20,0.48952355874400527
linear,1205,bp,21,0.4806034619372305
linear,1205,bp,22,0.46994547176717044
linear,1205,bp,23,0.46185093362420054
linear,1205,bp,24,0.4539464545616941
linear,1205,bp,25,0.44565788930468475
linear,1205,bp,26,0.4402983826258837
linear,1205,bp,27,0.43304239010870577
linear,1205,bp,28,0.42680857716252785
linear,1205,bp,29,0.4219356904782667
linear,1205,bp,30,0.42005392689567306
linear,1205,bp,31,0.4140657156097527
linear,1205,bp,32,0.4116890449947836
linear,1205,bp,33,0.4066524466365338
linear,1205,bp,34,0.40470061972268584
linear,1205,bp,35,0.40103373827306715
linear,1205,bp,36,0.39809239634983024
linear,1205,bp,37,0.39573956275336836
linear,1205,bp,38,0.39472828331996235
linear,1205,bp,39,0.3927215313383297
linear,1205,bp,40,0.39016796020463174
linear,1205,bp,41,0.3892541092239041
linear,1205,bp,42,0.3854609800507111
linear,1205,bp,43,0.38562292961460704
linear,1205,bp,44,0.3833519179516105
linear,1205,bp,45,0.38106343335240817
linear,1205,bp,46,0.3787630185086417
linear,1205,bp,47,0.37795089365450857
linear,1205,bp,48,0.37629243627818054
linear,1205,bp,49,0.3762353487622437
linear,1205,bp,50,0.3731065606179102
linear,1205,bp,51,0.3729499393319949
linear,1205,bp,52,0.37162445476366684
linear,1205,bp,53,0.36812919970845465
linear,1205,bp,54,0.37018746191142293
linear,1205,bp,55,0.3682782777405063
linear,1205,bp,56,0.3693623045653999
linear,1205,bp,57,0.3653540993649595
linear,1205,bp,58,0.3653490004152056
linear,1205,bp,59,0.36789158203630495
linear,1205,bp,60,0.36182972462553603
linear,1206,bp,1,0.9874750690746531
linear,1206,bp,2,0.873961679755935
linear,1206,bp,3,0.805395811120397
linear,1206,bp,4,0.7550358381010666
linear,1206,bp,5,0.7144613415056589
linear,1206,bp,6,0.6748216520166315
linear,1206,bp,7,0.6402766518604927
linear,1206,bp,8,0.6124604328909062
linear,1206,bp,9,0.5880506698589739
linear,1206,bp,10,0.5688268566458284
linear,1206,bp,11,0.5525146283959556
linear,1206,bp,12,0.538270151424288
linear,1206,bp,13,0.522964642319549
linear,1206,bp,14,0.5081635832375443
linear,1206,bp,15,0.49308408987603697
linear,1206,bp,16,0.4794071758326559
linear,1206,bp,17,0.46807875190053244
linear,1206,bp,18,0.45801551912135485
linear,1206,bp,19,0.44805068442730356
linear,1206,bp,20,0.43895463805699153
linear,1206,bp,21,0.43168431348165265
linear,1206,bp,22,0.424023008240068
linear,1206,bp,23,0.4174339431751355
linear,1206,bp,24,0.4120504989732648
linear,1206,bp,25,0.40698533390945063
linear,1206,bp,26,0.4006752868055519
linear,1206,bp,27,0.3961398812397022
linear,1206,bp,28,0.392323733704244
linear,1206,bp,29,0.3891546163186829
linear,1206,bp,30,0.38455023837435126
linear,1206,bp,31,0.38273162410369926
linear,1206,bp,32,0.37748206775490595
linear,1206,bp,33,0.3759293669822545
linear,1206,bp,34,0.37420688742837216
linear,1206,bp,35,0.3709781707200815
linear,1206,bp,36,0.36828502102080485
linear,1206,bp,37,0.3671929345881102
linear,1206,bp,38,0.3669173361089311
linear,1206,bp,39,0.36514365713747826
linear,1206,bp,40,0.362713364870058
linear,1206,bp,41,0.360420359858271
linear,1206,bp,42,0.36301096338679856
linear,1206,bp,43,0.3591031107285901
linear,1206,bp,44,0.3588013390010924
linear,1206,bp,45,0.35540683463568906
linear,1206,bp,46,0.35928636083998106
linear,1206,bp,47,0.3528513932224744
linear,1206,bp,48,0.3533576782127681
linear,1206,bp,49,0.35321903461638254
linear,1206,bp,50,0.351880715291441
linear,1206,bp,51,0.3515582387047987
linear,1206,bp,52,0.34879324086033225
linear,1206,bp,53,0.34903754318149244
linear,1206,bp,54,0.34639768244365515
linear,1206,bp,55,0.34951722674414726
linear,1206,bp,56,0.3441067699742007
linear,1206,bp,57,0.3466392712199983
linear,1206,bp,58,0.3462390389520597
linear,1206,bp,59,0.34447532938129183
linear,1206,bp,60,0.34324269304449756
linear,1207,bp,1,0.9789729967435555
linear,1207,bp,2,0.8769150839471577
linear,1207,bp,3,0.8159047020900353
linear,1207,bp,4,0.7671179111925085
linear,1207,bp,5,0.7267563953930752
linear,1207,bp,6,0.6927435009203945
linear,1207,bp,7,0.6635219320401945
linear,1207,bp,8,0.6396667897779531
linear,1207,bp,9,0.6198700743336509
linear,1207,bp,10,0.6016186454786746
linear,1207,bp,11,0.5877269001529926
linear,1207,bp,12,0.574902292328642
linear,1207,bp,13,0.5632180800442228
linear,1207,bp,14,0.5535109569310789
linear,1207,bp,15,0.5438837153785118
linear,1207,bp,16,0.5344516739556465
linear,1207,bp,17,0.5278568953758288
linear,1207,bp,18,0.5179887861652174
linear,1207,bp,19,0.5103338323923542
linear,1207,bp,20,0.5044278433194731
linear,1207,bp,21,0.49968201894079245
linear,1207,bp,22,0.4920598000583644
linear,1207,bp,23,0.4887260838235365
linear,1207,bp,24,0.4840511252501614
linear,1207,bp,25,0.4795902042674645
linear,1207,bp,26,0.47476207437171586
linear,1207,bp,27,0.47040748238689956
linear,1207,bp,28,0.4697099810535456
linear,1207,bp,29,0.4633351729897182
linear,1207,bp,30,0.4586878110341008
linear,1207,bp,31,0.4551764118188995
linear,1207,bp,32,0.4538814518338025
linear,1207,bp,33,0.4479865923213655
linear,1207,bp,34,0.44427967908110705
linear,1207,bp,35,0.44175808887604867
linear,1207,bp,36,0.4409033879966535
linear,1207,bp,37,0.43479181129966965
linear,1207,bp,38,0.43541714750152277
linear,1207,bp,39,0.43245605769093737
linear,1207,bp,40,0.4308422731445763
linear,1207,bp,41,0.4284366365427106
linear,1207,bp,42,0.42794535084702695
linear,1207,bp,43,0.4256341043802246
linear,1207,bp,44,0.4251074930362368
linear,1207,bp,45,0.4222486316768292
linear,1207,bp,46,0.42115180330306373
linear,1207,bp,47,0.41965204921991345
linear,1207,bp,48,0.4193810809625184
linear,1207,bp,49,0.4181608885746135
linear,1207,bp,50,0.415920561329453
linear,1207,bp,51,0.41716151991655215
linear,1207,bp,52,0.4135343548290262
linear,1207,bp,53,0.41546508372555335
linear,1207,bp,54,0.41350899763076954
linear,1207,bp,55,0.4154592348488045
linear,1207,bp,56,0.41238550572165494
linear,1207,bp,57,0.41124975843650186
linear,1207,bp,58,0.4104586352616905
linear,1207,bp,59,0.4132220661875028
linear,1207,bp,60,0.4081706033336765
linear,1208,bp,1,0.925093938262668
linear,1208,bp,2,0.8241047688668203
linear,1208,bp,3,0.7641820130710103
linear,1208,bp,4,0.7161208004981058
linear,1208,bp,5,0.6737762138147533
linear,1208,bp,6,0.6361965855731707
linear,1208,bp,7,0.607552757940162
linear,1208,bp,8,0.5850307708082763
linear,1208,bp,9,0.565421510769753
linear,1208,bp,10,0.5497621341683162
linear,1208,bp,11,0.5379779749211531
linear,1208,bp,12,0.5255076534366562
linear,1208,bp,13,0.5138171541440442
linear,1208,bp,14,0.5053279178211488
linear,1208,bp,15,0.4951193999152615
linear,1208,bp,16,0.48587822869717084
linear,1208,bp,17,0.4782756676249645
linear,1208,bp,18,0.4697698934727647
linear,1208,bp,19,0.4616115489445445
linear,1208,bp,20,0.45710634501540715
linear,1208,bp,21,0.44800346799460905
linear,1208,bp,22,0.44390847142838724
linear,1208,bp,23,0.43793728110993263
linear,1208,bp,24,0.43425180279728326
linear,1208,bp,25,0.42850709104861306
linear,1208,bp,26,0.42477299888199543
linear,1208,bp,27,0.42070866102054905
linear,1208,bp,28,0.4175295947446764
linear,1208,bp,29,0.4133408257919113
linear,1208,bp,30,0.4092042067808889
linear,1208,bp,31,0.40490254359365335
linear,1208,bp,32,0.40383096385081724
linear,1208,bp,33,0.39907244227327876
linear,1208,bp,34,0.3987943192609946
linear,1208,bp,35,0.3934706153302849
linear,1208,bp,36,0.3923595590330864
linear,1208,bp,37,0.38929289658949057
linear,1208,bp,38,0.39066722275880633
linear,1208,bp,39,0.38434035048995546
linear,1208,bp,40,0.38222035477591226
linear,1208,bp,41,0.3809768178707329
linear,1208,bp,42,0.3805890003475875
linear,1208,bp,43,0.37724815789748806
linear,1208,bp,44,0.37631360496764427
linear,1208,bp,45,0.3744422687352145
linear,1208,bp,46,0.37317893734255553
linear,1208,bp,47,0.3719621160353411
linear,1208,bp,48,0.37211693336116314
linear,1208,bp,49,0.37066936317884625
linear,1208,bp,50,0.3672482082404334
linear,1208,bp,51,0.36918540329484645
linear,1208,bp,52,0.36612615362928835
linear,1208,bp,53,0.3669142277435669
linear,1208,bp,54,0.36368539866488153
linear,1208,bp,55,0.3650573890867507
linear,1208,bp,56,0.3653633226163375
linear,1208,bp,57,0.36469024224109853
linear,1208,bp,58,0.36260747431557583
linear,1208,bp,59,0.36271197734665855
linear,1208,bp,60,0.36315297381264494
linear,1209,bp,1,1.0186409187863916
linear,1209,bp,2,0.8759571584796776
linear,1209,bp,3,0.8006093228075782
linear,1209,bp,4,0.7466438975787543
linear,1209,bp,5,0.7046671272982307
linear,1209,bp,6,0.6695261444971377
linear,1209,bp,7,0.6413092725976061
linear,1209,bp,8,0.6203418712386575
linear,1209,bp,9,0.6043705514108436
linear,1209,bp,10,0.5909122273515703
linear,1209,bp,11,0.578376559045696
linear,1209,bp,12,0.5665672801663959
linear,1209,bp,13,0.5537266180186652
linear,1209,bp,14,0.5420617659751047
linear,1209,bp,15,0.5308307939918623
linear,1209,bp,16,0.5222096249098265
linear,1209,bp,17,0.5136915341540295
linear,1209,bp,18,0.5039611435226053
linear,1209,bp,19,0.49686435929468925
linear,1209,bp,20,0.48872428545841284
linear,1209,bp,21,0.4819054137465571
linear,1209,bp,22,0.47483199184811564
linear,1209,bp,23,0.4693866675243601
linear,1209,bp,24,0.46267718258035534
linear,1209,bp,25,0.45756388419720023
linear,1209,bp,26,0.45052230298185486
linear,1209,bp,27,0.44477251638113674
linear,1209,bp,28,0.4425521719490453
linear,1209,bp,29,0.43668525019724536
linear,1209,bp,30,0.43433056910193635
linear,1209,bp,31,0.43067545613345964
linear,1209,bp,32,0.4262847274833372
linear,1209,bp,33,0.4227047083317379
linear,1209,bp,34,0.42007662444029376
linear,1209,bp,35,0.41713712444203965
linear,1209,bp,36,0.4145156336681837
linear,1209,bp,37,0.41134472645909376
linear,1209,bp,38,0.40921769720736306
linear,1209,bp,39,0.40631623863928484
linear,1209,bp,40,0.4040065759637579
linear,1209,bp,41,0.40201381917998447
linear,1209,bp,42,0.4007122652534422
linear,1209,bp,43,0.3988552535114973
linear,1209,bp,44,0.3956051616908857
linear,1209,bp,45,0.3958443728406295
linear,1209,bp,46,0.39519123840694287
linear,1209,bp,47,0.39303347077699
linear,1209,bp,48,0.3920681437882865
linear,1209,bp,49,0.3892254688451449
linear,1209,bp,50,0.3905704929405453
linear,1209,bp,51,0.3885923219944631
linear,1209,bp,52,0.3878944911033571
linear,1209,bp,53,0.38604333300566923
linear,1209,bp,54,0.38672701447724017
linear,1209,bp,55,0.3831215008388677
linear,1209,bp,56,0.3824198488641473
linear,1209,bp,57,0.38402056045465355
linear,1209,bp,58,0.38173231955959713
linear,1209,bp,59,0.38180104498417267
linear,1209,bp,60,0.380931103389003
linear,1210,bp,1,1.000219924857289
linear,1210,bp,2,0.8970750572353298
linear,1210,bp,3,0.8353977729400693
linear,1210,bp,4,0.7858378465547086
linear,1210,bp,5,0.742658510756585
linear,1210,bp,6,0.7030761236231489
linear,1210,bp,7,0.6718407500572448
linear,1210,bp,8,0.6463641103321299
linear,1210,bp,9,0.6234453945140762
linear,1210,bp,10,0.6025333194491259
linear,1210,bp,11,0.5838163052122889
linear,1210,bp,12,0.5661997304407698
linear,1210,bp,13,0.5495830467923227
linear,1210,bp,14,0.536005006642284
linear,1210,bp,15,0.5227923772111222
linear,1210,bp,16,0.5108072890837272
linear,1210,bp,17,0.4999857635599945
linear,1210,bp,18,0.4898755722716636
linear,1210,bp,19,0.48229376561852694
linear,1210,bp,20,0.47321237931444876
linear,1210,bp,21,0.46737441242502165
linear,1210,bp,22,0.46074111682312346
linear,1210,bp,23,0.45510381913241177
linear,1210,bp,24,0.45161676884571994
linear,1210,bp,25,0.44579804859682975
linear,1210,bp,26,0.44125197107978753
linear,1210,bp,27,0.43715582069021064
linear,1210,bp,28,0.4333295746649894
linear,1210,bp,29,0.4312868058241858
linear,1210,bp,30,0.4271272885485559
linear,1210,bp,31,0.4241579714885651
linear,1210,bp,32,0.42035188322990386
linear,1210,bp,33,0.4173413671418554
linear,1210,bp,34,0.4149861162104531
linear,1210,bp,35,0.41271548765125643
linear,1210,bp,36,0.41178814584656936
linear,1210,bp,37,0.40833306486258075
linear,1210,bp,38,0.4059535950217812
linear,1210,bp,39,0.40466993542296786
linear,1210,bp,40,0.40233589762141514
linear,1210,bp,41,0.40175324005807206
linear,1210,bp,42,0.40019564687110204
linear,1210,bp,43,0.3959256148533943
linear,1210,bp,44,0.3968652688681092
linear,1210,bp,45,0.393983461195613
linear,1210,bp,46,0.39228085743487356
linear,1210,bp,47,0.3901876278484075
linear,1210,bp,48,0.3891967058707509
linear,1210,bp,49,0.3866146372333417
linear,1210,bp,50,0.3870803845238227
linear,1210,bp,51,0.38437786703504234
linear,1210,bp,52,0.3831691350092911
linear,1210,bp,53,0.38168746514025176
linear,1210,bp,54,0.3794811132019668
linear,1210,bp,55,0.3796329727365246
linear,1210,bp,56,0.3768026139047242
linear,1210,bp,57,0.37637709599076113
linear,1210,bp,58,0.37557481418536676
linear,1210,bp,59,0.37258253131261726
linear,1210,bp,60,0.37133406609376113
linear,1211,bp,1,0.9678613257860968
linear,1211,bp,2,0.8669801618655758
linear,1211,bp,3,0.8057888508877632
linear,1211,bp,4,0.7560351530499533
linear,1211,bp,5,0.7144338815072341
linear,1211,bp,6,0.6787042624602956
linear,1211,bp,7,0.6484279716751663
linear,1211,bp,8,0.6219248557576865
linear,1211,bp,9,0.6006633601354787
linear,1211,bp,10,0.5830464921261759
linear,1211,bp,11,0.5675678967254331
linear,1211,bp,12,0.5547759021106639
linear,1211,bp,13,0.5412156389769675
linear,1211,bp,14,0.5287694487661184
linear,1211,bp,15,0.5179955288671186
linear,1211,bp,16,0.5064528533525096
linear,1211,bp,17,0.4949030994512648
linear,1211,bp,18,0.4838152926696024
linear,1211,bp,19,0.47532961455620365
linear,1211,bp,20,0.46604775088126926
linear,1211,bp,21,0.45799400007728486
linear,1211,bp,22,0.4515163683299776
linear,1211,bp,23,0.44445035868433136
linear,1211,bp,24,0.43937109164408833
linear,1211,bp,25,0.43287805789923245
linear,1211,bp,26,0.427898638375821
linear,1211,bp,27,0.42445884632903336
linear,1211,bp,28,0.42091667051549947
linear,1211,bp,29,0.41847906144069924
linear,1211,bp,30,0.4159562777260839
linear,1211,bp,31,0.4134538075930876
linear,1211,bp,32,0.41111277551753994
linear,1211,bp,33,0.41029594107734185
linear,1211,bp,34,0.40773935055855604
linear,1211,bp,35,0.4060138625567898
linear,1211,bp,36,0.40257422541539745
linear,1211,bp,37,0.40096453223057704
linear,1211,bp,38,0.399456093640312
linear,1211,bp,39,0.3978088346197448
linear,1211,bp,40,0.395799545039442
linear,1211,bp,41,0.394870774717405
