seed,graph,method,edges,initial_mse,test_mse,accuracy,occluded_mse,shuffled_mse,seconds,status
3100,forward,bp,1001,0.5000271270613867,0.5062777770358335,0.2265625,0.5019622486947034,0.5175626951677246,0.11100997000175994,ok
3100,forward,pc,1001,0.5000271270613867,0.5078479220518302,0.296875,0.5041800413803998,0.5119633827769362,0.6397227289999137,ok
3100,forward,alm,1001,0.5000271270613867,0.5095552928648548,0.296875,0.5053275603114531,0.5135161384365059,0.6268698839994613,ok
3100,full,bp,2663,0.49971228430000236,0.5134933066739252,0.203125,0.5052384695968781,0.5285684847810902,0.10666987400327343,ok
3100,full,pc,2663,0.49971228430000236,0.5172774310385775,0.2578125,0.5049724029371002,0.5274786675084193,0.6161311159958132,ok
3100,full,alm,2663,0.49971228430000236,0.5188344750668202,0.265625,0.5055089698168367,0.5300140927288247,0.6199880770000163,ok
3101,forward,bp,1001,0.49998548025166906,0.49749730058271735,0.328125,0.4972564966233775,0.4931957890733796,0.10624928399920464,ok
3101,forward,pc,1001,0.49998548025166906,0.4955325411077731,0.328125,0.49558368546532217,0.4934054613479916,0.6078976529970532,ok
3101,forward,alm,1001,0.49998548025166906,0.4964736355622815,0.328125,0.49630919591270156,0.4934957963887979,0.6084875879969331,ok
3101,full,bp,2663,0.5007937244258325,0.49259825771192284,0.390625,0.49318408989822693,0.49249036919955574,0.11030886899970938,ok
3101,full,pc,2663,0.5007937244258325,0.49222345502039866,0.421875,0.4919224147498108,0.4945296756196122,0.6205829879982048,ok
3101,full,alm,2663,0.5007937244258325,0.4931544168472978,0.4375,0.492653634744481,0.49511702113635736,0.6172455249979976,ok
3102,forward,bp,1001,0.49999346324185634,0.509071771705456,0.21875,0.5069647953907895,0.5091845962637238,0.11317162000341341,ok
3102,forward,pc,1001,0.49999346324185634,0.5130002868011176,0.2109375,0.5095916735149959,0.5149540685557699,0.6427565960038919,ok
3102,forward,alm,1001,0.49999346324185634,0.5151638657803803,0.2109375,0.5113003812146963,0.5169139929876587,0.6423363159992732,ok
3102,full,bp,2663,0.49982927074766664,0.5198061802993892,0.1953125,0.5104317172701112,0.5206287597504775,0.11627403000602499,ok
3102,full,pc,2663,0.49982927074766664,0.5302019412034056,0.203125,0.515518928668522,0.5284359680650234,0.6604566470050486,ok
3102,full,alm,2663,0.49982927074766664,0.5316283111917395,0.2109375,0.517395910082804,0.529466044604038,0.6187369120016228,ok
3103,forward,bp,1001,0.4999714107837734,0.5096533906625365,0.2109375,0.5072961277381185,0.5097765590334742,0.11493695600074716,ok
3103,forward,pc,1001,0.4999714107837734,0.5142990868443456,0.234375,0.5110137499273357,0.5144367380989147,0.631503527998575,ok
3103,forward,alm,1001,0.4999714107837734,0.5152626277287067,0.2265625,0.511768001822809,0.5152801633613975,0.6139194249990396,ok
3103,full,bp,2663,0.49856261421999837,0.5133012240319623,0.21875,0.5107386797674591,0.5125579751470153,0.10806264799612109,ok
3103,full,pc,2663,0.49856261421999837,0.5163752292377028,0.25,0.5118730729338004,0.5140176931895887,0.6452635969981202,ok
3103,full,alm,2663,0.49856261421999837,0.5181669603137906,0.2421875,0.5135694120554019,0.5157490658061827,0.6540636399950017,ok
3104,forward,bp,1001,0.5001093455056561,0.5325036385957271,0.2421875,0.5252524610343527,0.5286777806076557,0.115874631999759,ok
3104,forward,pc,1001,0.5001093455056561,0.5473819521720285,0.203125,0.5359717448655472,0.5315684597426811,0.6701686439992045,ok
3104,forward,alm,1001,0.5001093455056561,0.5526563635483722,0.2109375,0.5399838118217252,0.5349466778614683,0.6607028060025186,ok
3104,full,bp,2663,0.5001869831055413,0.5303610561880523,0.2421875,0.5222873511311917,0.5267351037495117,0.1130818649980938,ok
3104,full,pc,2663,0.5001869831055413,0.5418745848464672,0.28125,0.5292430320228686,0.5348366089388162,0.6547635030001402,ok
3104,full,alm,2663,0.5001869831055413,0.5451569458630359,0.2890625,0.5327766487763238,0.535918033130848,0.6424542219974683,ok
3105,forward,bp,1001,0.5000372662346787,0.5007790599363027,0.25,0.5007451596008726,0.5005437991151394,0.10869317699689418,ok
3105,forward,pc,1001,0.5000372662346787,0.5071178012288518,0.2578125,0.504914376449964,0.5089305020836438,0.6294406859960873,ok
3105,forward,alm,1001,0.5000372662346787,0.5097418977171113,0.25,0.5068546394836252,0.5115704587891038,0.6203973500014399,ok
